Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Event Name,ISO,Start Year,Start Month,End Year,End Month,Total Deaths,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2006-0718-USA,2006,Natural,Meteorological,Storm,Convective storm,,USA,2006,12,2006,12,,,483894,74.39638749
2006-0344-USA,2006,Natural,Hydrological,Flood,Riverine flood,,USA,2006,6,2006,6,2,2400,9409,74.39638749
2006-0413-USA,2006,Natural,Hydrological,Flood,Riverine flood,,USA,2006,7,2006,8,,,134415,74.39638749
2006-0418-USA,2006,Natural,Hydrological,Flood,Riverine flood,,USA,2006,7,2006,7,1,600,,74.39638749
2006-0461-USA,2006,Natural,Hydrological,Flood,Riverine flood,,USA,2006,8,2006,8,,150,20834,74.39638749
2006-0566-USA,2006,Natural,Hydrological,Flood,Riverine flood,,USA,2006,10,2006,10,,100,,74.39638749
2006-0598-USA,2006,Natural,Hydrological,Flood,Riverine flood,,USA,2006,11,2006,11,2,1500,,74.39638749
2006-0387-USA,2006,Natural,Meteorological,Extreme temperature ,Heat wave,,USA,2006,7,2006,8,164,,,74.39638749
2006-0427-USA,2006,Natural,Meteorological,Extreme temperature ,Heat wave,,USA,2006,7,2006,8,24,,,74.39638749
2006-0576-USA,2006,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,USA,2006,10,2006,10,4,103,33604,74.39638749
2006-0662-USA,2006,Natural,Climatological,Wildfire,"Land fire (Brush, Bush, Pasture)",,USA,2006,12,2006,12,,15,33604,74.39638749
2006-0478-USA,2006,Technological,Technological,Transport accident,Air,,USA,2006,8,2006,8,49,1,,74.39638749
2006-0399-USA,2006,Technological,Technological,Transport accident,Water,"""Paquebot ""Crown princess""",USA,2006,7,2006,7,,100,,74.39638749
2006-0005-USA,2006,Technological,Technological,Industrial accident,Explosion,Mine,USA,2006,1,2006,1,13,7,,74.39638749
2006-0637-USA,2006,Technological,Technological,Miscellaneous accident,Fire,Hall for mentally handicapped people,USA,2006,11,2006,11,10,19,,74.39638749
2006-0374-USA,2006,Natural,Climatological,Wildfire,,,USA,2006,7,2006,7,1,167,21506,74.39638749
2006-0744-USA,2006,Natural,Meteorological,Storm,,,USA,2006,12,2006,12,10,,,74.39638749
2006-0643-VEN,2006,Natural,Hydrological,Flood,Riverine flood,,VEN,2006,10,2006,10,,135,,74.39638749
2007-0026-USA,2007,Natural,Meteorological,Storm,,,USA,2007,1,2007,1,65,220,653435,76.5186792
2007-0066-USA,2007,Natural,Meteorological,Storm,Convective storm,,USA,2007,2,2007,2,16,,182962,76.5186792
2007-0038-MEX,2007,Technological,Technological,Transport accident,Road,,MEX,2007,1,2007,1,29,25,,76.5186792
